Flavanoids,Hue,OD,Proline,Class
2.27,1.16,2.63,937,Middle
0.99,0.95,2.26,625,Middle
2.5,1.23,2.74,428,Middle
3.75,1.04,2.77,660,Middle
2.99,1.42,2.83,406,Middle
2.17,1.27,2.96,710,Middle
1.36,1.04,2.77,562,Middle
2.11,0.8,3.38,438,Middle
1.64,0.94,2.44,415,Middle
1.92,1.04,3.57,672,Middle
1.84,0.86,3.3,315,Middle
2.03,1,3.17,510,Middle
1.76,0.88,2.42,488,Middle
2.04,0.86,3.02,312,Middle
2.92,0.96,3.26,680,Middle
2.58,0.75,2.81,562,Middle
2.27,0.9,2.78,325,Middle
2.03,1.23,2.5,607,Middle
2.01,1.1,2.31,434,Middle
2.29,0.93,3.19,385,Middle
2.17,1.71,2.87,407,Middle
1.6,0.95,3.33,495,Middle
2.09,1.06,2.96,345,Middle
1.25,0.7,2.12,372,Middle
1.64,0.93,3.05,564,Middle
2.79,0.8,3.39,625,Middle
5.08,0.93,3.69,465,Middle
2.13,0.92,3.12,365,Middle
2.65,0.73,3.1,380,Middle
3.03,0.75,3.64,380,Middle
2.65,0.86,3.28,378,Middle
3.15,0.69,2.84,352,Middle
2.24,0.97,2.44,466,Middle
2.45,0.89,2.78,342,Middle
1.75,0.79,2.57,580,Middle
1.25,0.76,1.29,630,Low
1.22,0.74,1.42,530,Low
1.09,0.66,1.36,560,Low
1.2,0.78,1.29,600,Low
0.58,0.75,1.51,650,Low
0.66,0.73,1.58,695,Low
0.47,0.75,1.27,720,Low
0.6,0.82,1.69,515,Low
0.48,0.81,1.82,580,Low
0.6,0.89,2.15,590,Low
0.5,0.77,2.31,600,Low
0.5,0.7,2.47,780,Low
0.52,0.89,2.06,520,Low
0.8,0.91,2.05,550,Low
0.78,0.65,2,855,Low
0.55,0.6,1.68,830,Low
0.34,0.58,1.33,415,Low
0.65,0.54,1.86,625,Low
0.76,0.55,1.62,650,Low
1.39,0.57,1.33,550,Low
1.57,0.59,1.3,500,Low
1.36,0.48,1.47,480,Low
1.28,0.61,1.33,425,Low
0.83,0.56,1.51,675,Low
0.58,0.58,1.55,640,Low
0.63,0.6,1.48,725,Low
0.83,0.57,1.64,480,Low
0.58,0.67,1.73,880,Low
1.31,0.57,1.96,660,Low
1.1,0.57,1.78,620,Low
0.92,0.56,1.58,520,Low
0.56,0.96,1.82,680,Low
0.6,0.87,2.11,570,Low
0.7,0.68,1.75,675,Low
0.68,0.7,1.68,615,Low
0.47,0.78,1.75,520,Low
0.92,0.85,1.56,695,Low
0.66,0.72,1.75,685,Low
0.84,0.74,1.8,750,Low
0.96,0.67,1.92,630,Low
0.49,0.66,1.83,510,Low
0.51,0.57,1.63,470,Low
0.7,0.62,1.71,660,Low
0.61,0.64,1.74,740,Low
0.75,0.7,1.56,750,Low
0.69,0.59,1.56,835,Low
0.68,0.6,1.62,840,Low
0.76,0.61,1.6,560,Low
